Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Finland,FIN,9528518785.75045,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,France,FRA,..,862004000000,2097190000000,2154031000000,2284666000000,2348132000000,2401642000000,2558570000000,2854924000000,2924645000000,2603742000000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Georgia,GEO,..,3536400000,9641000000,12437400000,14430700000,16057000000,17343700000,22239300000,32459100000,33232500000,31307500000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Germany,DEU,306335417699.902,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Greece,GRC,..,168693680000,335538850000,333657320000,339633910000,351961840000,375008950000,389528820000,417862580000,431049900000,420029940000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Guatemala,GTM,8401020000,25432090000,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
