Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Fiji,FJI,261102710.844916,412013921.196278,916228000.745634,918959350.368621,908823039.760341,1116363704.4475,947653331.857671,1043304264.01736,1081812964.94674,1517816546.24939,1556777405.71406,1548302837.62548
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Finland,FIN,10414929121.4892,8409731733.14767,10679250780.1178,10016275637.3125,10465361380.0017,10506846391.9314,10309164187.4718,11426621292.5879,13479975777.3892,16744106303.3566,16036363939.0545,16928837296.6915
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,France,FRA,68290938861.6469,63728079967.5087,143977104333.434,138198984338.294,145866068770.183,156322431109.247,166483400196.79,189006435295.488,224236417867.711,244280333397.895,242415618842.022,240792007784.254
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Gabon,GAB,278707082.300407,193613824.335929,2478480387.52702,1863120980.87031,789346604.519222,965054219.212037,1321051088.57443,1371973832.67956,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Gambia, The",GMB,55386774.693773,109431118.885128,159330829.415719,111040203.229818,87635582.4178872,169969976.48625,191773260.9803,256957421.665427,387046403.563775,652670952.247777,568244498.422456,577028229.488264
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Georgia,GEO,..,115965903.57973,2699169280.07028,2520721328.46961,2756383662.9152,3038762324.25157,3289463516.7195,3505823162.30974,3913274194.81288,4270945063.01792,4886343005.58234,5002255638.46392
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Germany,DEU,104547296415.9,87496869035.2706,193484758847.919,173730930555.425,184031339953.397,199983070123.869,198027061675.403,224027961016.415,268408603348.679,295736219413.597,293913690186.797,322700066274.527
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Ghana,GHA,309313690.586277,308900898.386218,5563709271.19552,5742645886.29529,5866729596.16504,7015187159.64987,6294851564.02725,7563210340.92838,7884091538.70727,9916916899.67781,5205457212.278,3623904994.58702
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Greece,GRC,4721071253.78782,14594006578.5544,6236284818.73247,6027606781.10376,6851247713.21209,7803722132.38225,7578500698.89502,8507452886.82209,11931180004.6485,14447242598.1807,12061425398.4158,13608310628.7708
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Grenada,GRD,17578888.8888889,57660000,169949409.726941,197973503.320903,207689282.825893,199125887.285472,233815853.807382,236325345.085472,293320432.166449,348259248.620045,371767322.523093,404129916.314621
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Guatemala,GTM,361810500,1805677836.93431,7330866098.16639,7745916506.07283,9152627961.3824,11765104230.8297,12583121641.7733,14784046764.6684,18463562201.5352,20934881434.6135,20414938168.4224,21311089849.3863
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Guinea,GIN,..,167593505.228716,983969561.325927,654264223.613139,840496671.437211,980319295.402434,1242328572.91057,1379136556.90392,1499116032.51595,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Guyana,GUY,28679759.2863951,304956640.973324,667925088.815999,531887027.917001,580981472.737257,565363504.401139,518509369.454311,573446281.433525,680634183.680422,790784502.119024,917877051.389658,895275181.194153
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Haiti,HTI,10167737.8619596,182507938.09891,1960922745.72932,1902499197.97709,2081778585.31216,2316457386.78663,2273981843.67693,2355488437.86306,2590258526.98275,2457439221.85644,2173397186.29319,2586418762.20436
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Honduras,HND,46574226.5723919,1318911702.08956,3458313625.72098,3754265677.88215,3813545536.14649,4708097401.41206,4769082161.53781,5744253369.31693,8138457727.65673,8666862380.88312,8410394831.45325,7543352779.92798
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Hong Kong SAR, China",HKG,24655780000,107560388150,328516955803.693,358772789814.908,386293451174.891,431441967070.678,424619925347.188,441349592235.762,491775722027.416,496867134129.408,424029810371.016,425554111033.182
