quarter,fed_fund_rate,unemployment_rate,producer_price,PCECTPI,gdp_percentage_change_prev_q
Q3-2011,0.0835869565217391,9.0,203.83333333333337,93.167,2.3
Q4-2011,0.0743478260869565,8.633333333333333,200.76666666666665,93.475,5.1
Q1-2012,0.1041758241758241,8.266666666666667,202.16666666666663,94.094,5.8
Q2-2012,0.1523076923076923,8.2,201.8,94.321,3.5
Q3-2012,0.1443478260869565,8.033333333333333,202.4,94.595,2.8
Q4-2012,0.161195652173913,7.8,202.26666666666665,95.126,2.5
Q1-2013,0.1436666666666666,7.733333333333333,203.6,95.459,5.7
Q2-2013,0.1158241758241758,7.533333333333334,203.96666666666667,95.508,1.9
Q3-2013,0.0852173913043478,7.233333333333333,204.16666666666663,95.901,5.5
Q4-2013,0.0855434782608695,6.933333333333334,201.9,96.254,5.7
Q1-2014,0.0722222222222222,6.666666666666667,205.5,96.696,0.1
Q2-2014,0.0909890109890109,6.2,208.2,97.129,7.7
Q3-2014,0.0891304347826087,6.066666666666666,207.13333333333333,97.394,6.7
Q4-2014,0.1013043478260869,5.7,200.4333333333333,97.265,2.4
Q1-2015,0.1128888888888888,5.533333333333334,191.53333333333333,96.829,3.4
Q2-2015,0.1256043956043956,5.433333333333334,193.03333333333333,97.312,4.9
Q3-2015,0.1347826086956521,5.1000000000000005,191.63333333333333,97.565,2.7
Q4-2015,0.1610869565217391,5.033333333333333,185.5666666666667,97.49,0.7
Q1-2016,0.3597802197802198,4.8999999999999995,182.0,97.538,2.0
Q2-2016,0.3693406593406593,4.933333333333334,185.36666666666667,98.157,4.1
Q3-2016,0.394891304347826,4.8999999999999995,187.0666666666667,98.496,3.9
Q4-2016,0.4481521739130434,4.766666666666667,187.0666666666667,98.947,4.2
Q1-2017,0.698888888888889,4.566666666666666,191.26666666666665,99.524,4.1
Q2-2017,0.9473626373626376,4.366666666666667,193.13333333333333,99.724,3.3
Q3-2017,1.1536956521739128,4.333333333333333,194.03333333333333,100.076,5.3
Q4-2017,1.2046739130434785,4.166666666666667,195.7,100.676,7.2
Q1-2018,1.4469999999999998,4.033333333333333,198.83333333333337,101.38,5.9
Q2-2018,1.736923076923077,3.9333333333333336,202.5666666666667,101.912,5.1
Q3-2018,1.9261956521739132,3.766666666666667,203.76666666666665,102.254,4.3
Q4-2018,2.220108695652174,3.8333333333333335,202.63333333333333,102.642,2.3
Q1-2019,2.401777777777778,3.8666666666666663,199.7,102.851,3.8
Q2-2019,2.397362637362637,3.6333333333333337,201.36666666666667,103.426,5.5
Q3-2019,2.1921739130434785,3.6,199.4333333333333,103.675,6.1
Q4-2019,1.6456521739130436,3.6,198.86666666666667,104.083,4.0
Q1-2020,1.254945054945055,3.8333333333333335,196.36666666666667,104.404,-3.7
Q2-2020,0.0587912087912088,13.0,188.4333333333333,103.988,-29.1
Q3-2020,0.0926086956521739,8.799999999999999,194.26666666666665,104.832,40.0
Q4-2020,0.0888043478260869,6.766666666666667,198.4333333333333,105.34,7.3
Q1-2021,0.0768888888888888,6.233333333333333,210.13333333333333,106.529,11.1
Q2-2021,0.0682417582417582,5.933333333333334,223.9,108.188,13.2
Q3-2021,0.09,5.066666666666666,233.64766666666665,109.681,9.8
Q4-2021,0.0794565217391304,4.2,241.6966666666667,111.491,15.1
Q1-2022,0.1214444444444444,3.8333333333333335,253.04233333333332,113.585,7.3
Q2-2022,0.7668131868131868,3.6333333333333337,272.9373333333333,115.672,9.7
Q3-2022,2.182934782608696,3.533333333333333,269.906,117.014,7.4
Q4-2022,3.653369565217392,3.5666666666666664,262.03833333333336,118.172,7.2
Q1-2023,4.514555555555556,3.533333333333333,258.6526666666667,119.32,6.6
Q2-2023,4.988131868131869,3.533333333333333,254.81266666666667,120.182,4.3
Q3-2023,5.259239130434783,3.6666666666666665,256.8163333333334,120.983,7.7
Q4-2023,5.33,3.8,252.638,121.48,4.8
Q1-2024,5.33,3.8333333333333335,253.77566666666667,122.507,4.7
Q2-2024,5.33,4.0,256.0683333333333,123.275,5.6
Q3-2024,5.264782608695652,4.166666666666667,255.15600000000003,123.747,5.0
